Request,Time(s),Delta(s),HTTP Status,CPU(%),MEM(MB),MEM(%)
27,0.748015,0,200,33.0,702.0,37.9
22,0.730818,0,200,32.7,703.0,38.0
50,0.739277,0,200,32.7,703.0,38.0
59,0.751229,0,200,33.2,702.0,37.9
43,0.736925,1,200,33.3,697.0,37.7
12,0.990384,1,200,30.0,695.0,37.5
31,1.041595,1,200,29.2,690.0,37.3
55,1.082806,1,200,29.2,691.0,37.3
5,1.243932,1,200,28.5,693.0,37.4
24,1.120225,1,200,28.5,693.0,37.4
16,1.069089,1,200,28.5,693.0,37.4
3,1.262576,1,200,27.5,686.0,37.1
6,1.446929,1,200,30.1,683.0,36.9
20,1.510655,1,200,29.6,682.0,36.8
21,1.655817,1,200,29.6,682.0,36.8
9,1.618523,1,200,29.2,679.0,36.7
13,1.890167,2,200,25.5,678.0,36.6
15,1.915090,2,200,25.5,681.0,36.8
36,1.731133,2,200,25.5,680.0,36.7
28,1.766882,2,200,25.5,680.0,36.7
18,1.777337,2,200,22.3,674.0,36.4
48,1.766368,2,200,22.3,674.0,36.4
7,1.971669,2,200,25.3,673.0,36.4
19,1.991108,2,200,25.6,673.0,36.4
14,2.189713,2,200,25.6,673.0,36.4
46,2.092288,2,200,30.8,666.0,36.0
54,2.182078,2,200,35.3,663.0,35.8
58,2.180771,2,200,35.7,664.0,35.9
40,2.245688,2,200,35.5,660.0,35.7
60,2.259160,2,200,35.3,660.0,35.7
57,2.369546,2,200,39.2,657.0,35.5
52,2.456868,2,200,38.6,655.0,35.4
1,2.565657,2,200,41.2,653.0,35.3
17,2.640025,3,200,40.5,650.0,35.1
37,2.615893,3,200,40.5,649.0,35.1
79,2.592502,3,200,40.5,650.0,35.1
23,2.640964,3,200,40.5,651.0,35.2
62,2.642558,3,200,41.1,650.0,35.1
70,2.631808,3,200,40.5,650.0,35.1
4,2.649719,3,200,40.5,652.0,35.2
51,2.761497,3,200,42.0,643.0,34.7
85,2.817738,3,200,42.7,641.0,34.6
53,2.867775,3,200,40.4,639.0,34.5
38,2.886722,3,200,40.2,640.0,34.6
82,2.896918,3,200,40.4,640.0,34.6
41,2.929237,3,200,40.4,639.0,34.5
81,3.012095,3,200,35.7,634.0,34.3
10,3.070603,3,200,31.9,633.0,34.2
8,3.139579,3,200,31.7,631.0,34.1
47,3.093836,3,200,31.7,631.0,34.1
2,3.156046,3,200,32.5,632.0,34.1
65,3.207601,3,200,31.2,625.0,33.8
29,3.214068,3,200,31.2,625.0,33.8
68,3.208918,3,200,31.2,625.0,33.8
35,3.213019,3,200,31.2,625.0,33.8
30,3.291616,3,200,33.2,622.0,33.6
69,3.369110,3,200,32.8,621.0,33.5
25,3.325489,3,200,34.3,616.0,33.3
49,3.420152,3,200,33.7,616.0,33.3
93,3.465432,3,200,34.3,614.0,33.2
39,3.452818,3,200,34.3,616.0,33.3
64,3.524648,4,200,33.7,611.0,33.0
34,3.524805,4,200,33.7,612.0,33.1
32,3.540565,4,200,30.0,609.0,32.9
76,3.574925,4,200,30.0,609.0,32.9
45,3.592071,4,200,30.0,610.0,33.0
26,3.636945,4,200,29.7,607.0,32.8
90,3.573354,4,200,30.2,606.0,32.7
66,3.695657,4,200,31.0,602.0,32.5
56,3.726841,4,200,31.0,602.0,32.5
80,3.687311,4,200,30.6,601.0,32.5
86,3.702341,4,200,30.6,602.0,32.5
83,3.842976,4,200,32.5,595.0,32.1
42,3.780340,4,200,32.3,595.0,32.1
61,3.813814,4,200,31.6,595.0,32.1
33,3.898130,4,200,30.6,592.0,32.0
96,3.877105,4,200,30.3,592.0,32.0
11,3.999754,4,200,29.6,590.0,31.9
44,4.008625,4,200,28.7,590.0,31.9
92,4.030820,4,200,28.2,587.0,31.7
67,4.116691,4,200,27.7,586.0,31.7
71,4.081903,4,200,27.7,587.0,31.7
63,4.210080,4,200,25.6,584.0,31.6
89,4.112223,4,200,25.9,584.0,31.6
75,4.148064,4,200,25.9,587.0,31.7
78,4.149136,4,200,25.9,590.0,31.9
97,4.232376,4,200,26.5,579.0,31.3
91,4.247431,4,200,26.0,578.0,31.2
100,4.330295,4,200,25.8,576.0,31.1
73,4.344407,4,200,25.3,576.0,31.1
95,4.357496,4,200,24.7,576.0,31.1
98,4.347992,4,200,24.7,575.0,31.1
74,4.438480,5,200,24.6,572.0,30.9
88,4.531051,5,200,21.9,571.0,30.8
99,4.545864,5,200,21.8,569.0,30.7
72,4.631159,5,200,21.6,568.0,30.7
87,4.595967,5,200,21.5,568.0,30.7
84,4.619712,5,200,20.0,566.0,30.6
94,4.656693,5,200,18.5,565.0,30.5
77,4.655540,5,200,18.5,565.0,30.5
